DATE,STATION,INITIAL TIME (UTC),FINAL TIME (UTC),Depth (m),Notes,Lat ,Lon
9/23/2019,MR,19:13,19:25,31.8,,25.010,-80.380
9/23/2019,7,23:07,23:24,4.3,,24.821,-80.757
9/23/2019,9,23:58,0:08,32.16,,24.76301167,-80.72408667
9/24/2019,9.5,1:02,1:23,122.16,,24.716535,-80.68968
9/24/2019,12,2:32,2:42,33.5,,24.713,-80.832
9/24/2019,10,3:51,3:58,4.1,,24.788,-80.860
9/24/2019,18,7:31,7:41,30.2,,24.598,-81.183
9/24/2019,16,9:20,9:28,5.57,,24.675,-81.205
9/24/2019,LK/21,10:29,10:41,37.8,,24.538,-81.413
9/24/2019,KW1,17:19,17:27,8.052,,24.65396833,-81.90491667
9/24/2019,KW2,18:08,18:13,12.2,,24.728235,-81.91638333
9/24/2019,KW4,20:22,20:34,19.21,,25.01315167,-82.03994833
9/25/2019,30,23:55,0:07,23.8,,25.402,-82.210
9/25/2019,31,2:58,3:06,14.4,,25.742,-81.943
9/25/2019,33,3:59,4:06,7.7,,25.912,-81.800
9/25/2019,CAL5,8:46,8:57,16.5,,26.18262933,-82.216185
9/25/2019,CAL4,9:48,9:58,11.51,,26.25375333,-82.139266
9/25/2019,CAL3,11:00,11:08,8.51,,26.341305,-82.46413333
9/25/2019,CAL2,11:38,11:48,6.9,,26.3832385,-82.00101167
9/25/2019,CAL1,12:44,,3.75,,26.42620667,-81.96124667
9/25/2019,RP1,16:28,16:34,5.62,,26.54557167,-82.21627833
9/25/2019,RP3,17:27,17:45,11.42,,26.55201,-82.33095667
9/25/2019,RP4,18:53,19:01,15.1,,26.54557167,-82.21627833
9/25/2019,GP5,21:51,22:23,24.53,,26.59499,-82.69595333
9/25/2019,BG4,23:25,23:37,19.04,,26.62938167,-82.55692333
9/26/2019,BG3,0:47,0:55,15.83,,26.66809167,-82.415775
9/26/2019,BG2,1:31,1:38,10.82,,26.68901,-82.33997833
9/26/2019,V1,5:05,5:14,6.9,,27.109875,-82.48046333
9/26/2019,V2,5:46,5:56,10.94,,27.07215667,-82.54709833
9/26/2019,V3,6:38,6:53,15.74,,27.03235667,-82.61980167
9/26/2019,V4,7:07,7:33,18.12,,26.99297667,-82.68422
9/26/2019,V5,8:13,8:23,24.2,,26.95590767,-82.749743
9/26/2019,V6,8:56,9:08,27.14,,26.91750017,-82.82083567
9/26/2019,V7,9:46,9:58,30.686,,26.87658833,-82.886595
9/26/2019,V8,10:33,10:47,33.37,,26.83300333,-82.95687833
9/26/2019,V9,11:58,12:11,40,,27.56310833,-82.10137883
9/26/2019,V10,13:31,13:44,46.8,,26.6231735,-83.244395
9/26/2019,V11,15:11,15:25,53.3,,26.51833767,-83.40862167
9/27/2019,TB1,2:59,3:07,5.9,,27.802265,-82.88317167
9/27/2019,TB2,4:09,4:19,11.21,,27.70357667,-82.91008333
9/27/2019,TB3,5:09,5:17,12.61,,27.66977667,-82.99875167
9/27/2019,TB4,6:14,6:25,21.66,,27.61711833,-83.13253833
9/27/2019,TB5,7:31,7:46,29.47,,27.61662667,-83.29734833
9/27/2019,TB10,8:54,9:08,36.41,,27.61746867,-83.4879485
9/27/2019,TB11,10:23,10:35,49.9,,27.61506433,-83.67631333
9/27/2019,TB12,11:45,11:58,51,,27.61779167,-83.8649385
9/27/2019,TB13,13:21,13:34,61.33,,27.61645667,-84.06439967
9/28/2019,CAL6,5:15,5:36,28.05,,25.94721167,-82.47989667
9/28/2019,42,11:12,11:21,8.06,,25.655415,-81.71911667
9/28/2019,45,13:07,13:14,5.8,,25.584,-81.471
9/28/2019,51,15:32,15:40,5,,25.453,-81.308
9/28/2019,53,16:08,16:15,3,,25.453,-81.225
9/28/2019,56,17:06,17:13,3.8,,25.35,-81.227
9/28/2019,55,17:28,17:39,3.1,,25.350,-81.193
9/28/2019,54,18:06,18:12,3.3,,25.345,-81.153
9/28/2019,57,19:25,19:33,3.8,,25.352,-81.336
9/28/2019,57.1,20:00,20:05,5.8,,25.352,-81.265
9/28/2019,57.2,20:57,21:04,8,,25.352,-81.491
9/28/2019,57.3,22:06,22:13,9.98,,25.352,-81.654
9/28/2019,58,23:31,23:40,11.4,,-81.653,25.167
9/29/2019,60,1:48,1:56,5.4,,-81.336,25.167
9/29/2019,68,4:55,5:06,4.5,,-80.719,24.760
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
